AmountSaved,저장된 금액
Assistance,도움
AssistanceComing,곧 도와 드리겠습니다. 계속 진행하십시오.
Back,뒤로 이동
BagItem,이 상품을 봉투에 담아 주십시오.
BagItemCart,상품 담기
BagItemOrSkip,이 상품을 봉투에 담거나 건너뛰기를 선택합니다.
CallForHelp,도움 요청?
Cancel,취소
CancelAll,모두 취소
CancelCoupons,쿠폰 취소
CancelPayment,지불 취소
CantScanCoupon,쿠폰 스캔 불가능
CartPay,결제
Change,거스름돈:
Confirm,전체 구입 내역을 취소하시겠습니까?
ConfirmQuantity,{0}이(가) 정확합니까?
Continue,계속하시겠습니까?
CouponMessage,잠시 동안 쿠폰을 유보합니다. 구입 마지막 단계에 쿠폰을 투입합니다.
DepositCard,다 쓴 선물 카드를 쿠폰 슬롯에 투입해 주십시오.
DepositCoupon,쿠폰 투입
DepositGiftCard,선물 카드 투입
Disconnected,잠시만 기다려 주십시오...
Done,완료
Due,기한:{0}
EditCart,카트 편집
Enter,입력
EnterAmount,수량 입력
EnterCouponValue,"쿠폰 금액을 센트 단위로 입력한 후에 'OK'을 누르십시오"
EnterId,사용자 ID를 입력하십시오.
EnterPassword,사용자 패스워드를 입력하십시오.
EnterPin,PIN 입력
EnterQuantity,얼마나 가지고 계십니까?
EnterWeight,저울 위에 상품을 올려 놓으십시오:
Finish,감사합니다.
FinishAndAdd,종료 & 추가
GiftCard,선물 카드 잔액
GoBack,뒤로 이동
IncorrectLogin,부정확한 오퍼레이터 번호 및 패스워드.\n다시 시도해 주십시오.
InsertCash,현금 입금
InsertCoupon,쿠폰 삽입
InvalidBarcodeScan,상품을 보관하고 구매를 계속합니다.
Item,{0} 상품
Items,{0} 상품
ItemsAddedFormat,{0} 카트에 추가할 상품.
Language,언어
NCRCorp,NCR Corp
No,아니요
OK,OK
Or,또는
OtherPayment,다른 결제 방식
OtherPaymentMethod,다른 결제 방식
OwnBag,직접 가져온 장바구니
Paid,결제:{0}
PayAnotherWay,다른 방식으로 결제
PointsEarned,받은 포인트
PrintReceipt,영수증 인쇄
Proceed,계속
Remove,제거
RemovedItem,상품을 제거했습니다
RestrictedItem,제한 상품
ReturnToScan,뒤로 이동
ScanAndBag,"상품 코드를 스캔, 검색, 또는 입력해서 시작합니다."
ScanCoupon,쿠폰 스캔
ScanGiftCard,선물 카드 스캔
ScanNextItem,다른 상품을 스캔해 주십시오.
ScanVoucher,상품권 검색
SearchResultsFor,"'{0}'에 대한 검색 결과"
SearchWatermark,상품 이름 또는 코드 입력
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,상품 검색 또는 입력
SelectCashBack,캐시 백 금액 선택
SelectLanguage,언어 선택
SelectPaymentType,지불 유형 선택
SellBags,비닐 봉투를 몇 장 사용하셨습니까?  사용하지 않았다면 0을 입력합니다.
SignNeeded,서명 필요
SignSignature,서명 패드에 서명해 주십시오.
SkipBagging,담기 작업 건너뛰기
Space,스페이스
StartScanning,스캔 시작
StoreLogin,매장 로그인
TakeCash,반환된 현금을 받아 주십시오
TakeChange,거스름돈 받기
TakeReceipt,영수증 받기
Tax,세금
TimeRestrictedItem,시간 제한 상품
Total,총합
TouchCancel,계속 진행하십시오.
TryAgain,다시 시도
UnexpectedDecreaseMessage,상품을 장바구니 영역으로 반납해 주십시오.
UnexpectedIncreaseMessage,상품을 장바구니 영역에서 제거해 주십시오.
UsePinpad,PIN 패드 사용
VoidItem,"원하지 않는 상품을 스캔하거나 영수증에서 ""제거""를 눌러 주십시오."
Volume,수량
Yes,예
ItemNumberAmount,물품수:
WeightExpected,예상무게 :
WeightObserved,관찰된 무게 :
UnknownPriceMessage,상품 가격을 알 수 없습니다.\n곧 도움을 받으실 수 있습니다.\n\n상품을 보관한 후 계속 진행.
SetAllItemsAsideMessage,전체 구매 내역 취소됨.\n\n모든 상품들을 유보해 주십시오.
ConfirmAbortMessage,카트를 비우시겠습니까? 거래가 취소될 것입니다.
NoKeep,"아니요, 유지합니다."
NoReturn,"아니요, 거래 내역으로 다시 반환합니다."
YesEmpty,"예, 카트를 비우고 거래를 종료합니다."
YesRemove,예. 제거합니다.
HostOfflineMessage,해당 계산 통로는 현재 오프라인 상태이며  자동으로 연결을 다시 시도하고 있습니다.
LaneClosedMessage,계산 통로 닫기 완료
LoadingText,로드 중
VerifyBagsMessage,장바구니 영역에 봉투 하나 이외에 다른 것을 잘못해서 올렸다면 지금 제거해 주십시오.
HelpOnWay,곧 도움을 받으실 수 있습니다.  계속 진행해 주십시오.
OwnBagMessage,저울에 상품을 위치시켜 주십시오.
UseOwnBag,봉투/상자
AttendantMode,안내 직원 모드
AttendantTrainingMode,안내 직원 및 교육 모드
TrainingMode,PIN 패드에서 취소를 누르면 지불을 취소합니다.
ScaleBroken,"상품을 저울에서 제거한 다음 스캐너의 '저울 영점' 단추를 눌러 주십시오."
Refunded,환불:
EnterIDMessage,"사용자 ID를 입력한 다음 '입력'을 눌러 주십시오."
EnterIDText,ID 입력
EnterPasswordMessage,"패스워드를 입력한 다음 '입력'을 눌러 주십시오."
EnterPasswordText,패스워드 입력
VisualVerify,시각적으로 확인
SingleItemAddedFormat,{0} 카트에 추가할 상품.
Approved,승인됨
VoidItemBeforeCouponMessage,쿠폰이 무효화 될 때까지 관련 상품을 무효화할 수 없습니다. 상품의 쿠폰을 먼저 무효화해 주십시오.
VerifyBags,안내 직원이 봉투를 검사할 것입니다.
CancelItems,상품 취소
EnterQuantityTitle,필요 수량
SecUnExpectedIncreaseTitle,장바구니 경고
WeightMismatchTitle,도움 필요
AssistanceNeededTitle,도움 필요
CheckBasketTitle,장바구니 확인
ConfirmDebitAmountTitle,금액 승인
DropoffCouponsTitle,쿠폰을 제출해 주십시오.
InsufficientBalanceTitle,잔고 부족
OperatorPasswordStateInvalidPasswordWithFPTitle,지문 로그인 실패
PurchaseCrateTitle,상자 단위 구입
RestrictedItemTitle,제한 상품
SecBagAreaBackupTitle,뒤로 이동한 상품
SignChargeTitle,영수증 서명
TakeCardTitle,카드 받기
ContinueTitle,계속하시겠습니까?
ApprovalNeededTitle,승인 필요
IncorrectLoginTitle,정확하지 않은 숫자
RecalledItemTitle,반납된 상품
RemovedItemTitle,장바구니 경고
SetAllItemsAsideTitle,상품  유보
TakeLoyaltyCardTitle,고객 카드 받기
UnknownPriceTitle,알 수 없는 가격
ConfirmEBTAmountTitle,금액 승인
DisconnectedTitle,연결 해제됨
ShuttingDown,중단 중
NoneText,없음
SMText,매장 모드
SMLogInReceiptText,매장 모드로 로그인함
SMLogOutReceiptText,매장 모드에서 로그아웃 함
WLDBOffLineText,중량 데이터베이스: 오프라인
OperatorIDText,오퍼레이터 ID: 
SignOnButtonText,사인 온
