AmountSaved,节省金额
Assistance,客服协助
AssistanceComing,客服人员即将前来，请继续。
Back,返回
BagItem,请把该商品装袋。
BagItemCart,商品装袋
BagItemOrSkip,请把该商品装袋，或选择跳过。
CallForHelp,求助?
Cancel,取消
CancelAll,取消所有
CancelCoupons,取消优惠券
CancelPayment,取消付款
CantScanCoupon,无法扫描优惠券
CartPay,支付
Change,更改：
Confirm,您想全盘取消此次购物吗？
ConfirmQuantity,{0} 是否正确?
Continue,您要继续吗？
CouponMessage,把优惠券放到一旁。并在购物结束时把优惠券丢入其收集容器。
DepositCard,请把您废弃的礼品卡放入优惠券插槽。
DepositCoupon,请把优惠券丢入其收集容器。
DepositGiftCard,存放礼品卡
Disconnected,请稍候。...
Done,完成
Due,应办事项：{0}
EditCart,修改购物车中商品
Enter,输入
EnterAmount,输入金额
EnterCouponValue,以分为单位输入优惠券金额，然后按“OK（确定）”
EnterId,输入您的ID号码。
EnterPassword,输入您的密码
EnterPin,输入密码
EnterQuantity,您有多少件商品？
EnterWeight,将商品放到秤台上:
Finish,感谢您来我店购物。
FinishAndAdd,完成并添加
GiftCard,礼品卡余额
GoBack,返回
IncorrectLogin,店员号码和密码不正确。\n请再试一次。
InsertCash,请插入现金
InsertCoupon,插入优惠券
InvalidBarcodeScan,请把商品放到一旁，然后继续购买。
Item,{0} 商品
Items,{0} 商品
ItemsAddedFormat,{0} 商品被添加到购物车中。
Language,语言
NCRCorp,NCR Corp
No,否
OK,OK
Or,或
OtherPayment,其它付款
OtherPaymentMethod,其它付款方式
OwnBag,自备购物袋
Paid,已支付：{0}
PayAnotherWay,以其它方式支付
PointsEarned,挣得的积分
PrintReceipt,打印收据
Proceed,继续
Remove,取出
RemovedItem,我已删除商品
RestrictedItem,有条件限制的商品
ReturnToScan,返回
ScanAndBag,请首先扫描、搜索或键入商品代码。
ScanCoupon,扫描优惠券
ScanGiftCard,扫描礼品卡
ScanNextItem,请扫描下一件商品。
ScanVoucher,扫描凭证
SearchResultsFor,“{0}”的搜索结果
SearchWatermark,请输入商品名称或代码
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,搜索或键入商品
SelectCashBack,选择现金返还金额
SelectLanguage,请选择语言
SelectPaymentType,选择付款类型
SellBags,您用多少个塑料袋？若不需要塑料袋，请输入0。
SignNeeded,需要签名
SignSignature,在签名板上签名。
SkipBagging,跳过装袋步骤
Space,空格键
StartScanning,开始扫描
StoreLogin,商店登录
TakeCash,请取走返回的现金
TakeChange,请取走找零
TakeReceipt,请取走收据
Tax,税费
TimeRestrictedItem,有时间限制的商品
Total,共计
TouchCancel,若取消付款，请按密码键盘的Cancel（取消）键。
TryAgain,再试一次
UnexpectedDecreaseMessage,把商品返还到装袋区。
UnexpectedIncreaseMessage,把商品从装袋区撤出。
UsePinpad,请使用密码键盘
VoidItem,扫描不需要的商品，或单击收据上的 “取出”。
Volume,音量
Yes,是
ItemNumberAmount,NOI :  
WeightExpected,WE :  
WeightObserved,WO :  
UnknownPriceMessage,不知道商品的价格。\n客服人员正在前来。\n\n请把商品放到一旁，然后继续。
SetAllItemsAsideMessage,整个购物已取消。\n\n请把所有商品放到一旁。
ConfirmAbortMessage,您确定要清空购物车吗？本次交易将被取消。
NoKeep,不，保留。
NoReturn,不，返回到交易中。
YesEmpty,是的，请清空购物车，然后结束交易。
YesRemove,是的，请删除。
HostOfflineMessage,该结帐通道脱机，系统正尝试重新连接。
LaneClosedMessage,结帐通道已关闭
LoadingText,正在载入
VerifyBagsMessage,如果您不小心把除了袋子以外的其它东西放入装袋区，请立即将其取出。
HelpOnWay,客服人员正在前来。请继续
OwnBagMessage,请把您的袋子放到秤台上。
UseOwnBag,我用自带的购物袋
AttendantMode,店员模式
AttendantTrainingMode,店员和训练模式
TrainingMode,训练模式
ScaleBroken,请从秤盘上取走商品，然后按扫描仪上的“秤清零”按钮。
Refunded,退款:
EnterIDMessage,输入用户名并按“输入”按钮。
EnterIDText,请输入用户名
EnterPasswordMessage,输入密码并按“输入”按钮。
EnterPasswordText,请输入密码
VisualVerify,肉眼检查
SingleItemAddedFormat,{0} 商品被添入购物车。
Approved,已获准
VoidItemBeforeCouponMessage,作废优惠券之前无法剔除商品。请首先作废商品的优惠券。
VerifyBags,店员将检查您的袋子。
CancelItems,取消商品
EnterQuantityTitle,需要数量
SecUnExpectedIncreaseTitle,装袋提示
WeightMismatchTitle,需要协助
AssistanceNeededTitle,需要协助
CheckBasketTitle,检查购物篮
ConfirmDebitAmountTitle,确认金额
DropoffCouponsTitle,把优惠券丢入其收集容器
InsufficientBalanceTitle,余额不足
OperatorPasswordStateInvalidPasswordWithFPTitle,指纹登录失败
PurchaseCrateTitle,成箱购物
RestrictedItemTitle,有条件限制的商品
SecBagAreaBackupTitle,堆积商品
SignChargeTitle,收据签名
TakeCardTitle,请取走卡
ContinueTitle,继续吗？
ApprovalNeededTitle,需要批准
IncorrectLoginTitle,号码不正确
RecalledItemTitle,召回商品
RemovedItemTitle,装袋提示
SetAllItemsAsideTitle,把商品放到一旁
TakeLoyaltyCardTitle,请拿好会员优惠卡
UnknownPriceTitle,未知价格
ConfirmEBTAmountTitle,确认金额
DisconnectedTitle,已断开
ShuttingDown,正在关闭
NoneText,无
SMText,商店模式
SMLogInReceiptText,登录到商店模式
SMLogOutReceiptText,退出商店模式
WLDBOffLineText,重量数据库：离线
OperatorIDText,店员编号： 
SignOnButtonText,登录
SignOffButtonText,退出登录
AlertText,提示：
SuspendInProgressText,处理暂停
SuspendLeadthru1,有人请求停止当前交易。请确认或取消该请求。
SuspendLeadthru2,您已经请求暂停当前交易。请证实该请求。若要取消，请触摸“返回” ，并从NCR SelfServ Checkout终端取消。
ReceiptText,收据：
SuspendReasonText1,暂停：一般
CancelSuspendButtonText,取消暂停
ConfirmSuspendNowButtonText,确认暂停\n此刻
ConfirmAllowSuspendButtonText,确认允许\n暂停
ConfirmSuspendRequestButtonText,确认暂停\n请求
CancelSuspendNowButtonText,取消暂停\n此刻
GoBackButtonText,返回
CancelSuspendRequestButtonText,取消暂停\n请求
CouponText,优惠券：
SuspendReasonText2,暂停：优惠券
CouponReceiptText,%d个券总额为$%.2f
SuspendNowButtonText,马上暂停
RequestSuspendButtonText,请求暂停
NotConnectedText,未连接
ConnectingText,正在连接...请稍候
ApprovalNeededText,需要批准：
SuspendReasonText3,暂停：其它
ClearRequestButtonText,清除请求
ApproveButtonText,批准
RestrictedItemText,受限商品：
SuspendReasonText4,暂停：受限制
SecurityLogText,安全日志：
SuspendReasonText5,暂停：安全
SignatureText,签名：
SignatureAndNameText,签名：%s
ConnectingLeadthru,正在连接NCR SelfServ Checkout...请稍候
EnterIDLeadthru,请使用下面的键盘输入身份号码。
EnterPasswordLeadthru,请使用下面的键盘输入密码。
LoggingInLeadthru,正在登录..请稍候
ApproveSecurityButtonText,批准\n安全
ApprovalNeededButtonText,需要批准
VerifySignatureButtonText,验证\n签名
AllowSuspendButtonText,允许暂停
MainButtonText,主菜单
SuspendTransactionButtonText,暂停交易
