AmountSaved,المبلغ المدخر
Assistance,مساعدة
AssistanceComing,المساعدة قادمة، يرجى الانتظار.
Back,العودة
BagItem,لُطفاً، ضع هذا الغرض في كيس.
BagItemCart,عبئ السلعة في كيس
BagItemOrSkip,لُطفاً، ضع هذا الغرض في كيس، أو تخطّى الخطوة.
CallForHelp,طلب المساعدة?
Cancel,إلغاء
CancelAll,إلغاء الكل
CancelCoupons,إلغاء القسائم
CancelPayment,إلغاء الدفع
CantScanCoupon,تعذر مسح القسيمة
CartPay,ادفع
Change,تغيير:
Confirm,هل تريد إلغاء كل مشترياتك؟
ConfirmQuantity,هل {0} صحيح؟
Continue,هل ترغب في المتابعة؟
CouponMessage,ضع القسائم جانبا في الوقت الحالي. أودعها في نهاية عملية الشراء.
DepositCard,نرجو إدخال بطاقة الهدية المستهلكة في منفذ القسائم.
DepositCoupon,إيداع القسائم
DepositGiftCard,إيداع بطاقة الهدية
Disconnected,يرجى الاننتظار...
Done,انتهى
Due,مستحق:{0}
EditCart,تعديل العربة:
Enter,إدخال
EnterAmount,أدخل المبلغ
EnterCouponValue,"أدخل قيمة القسيمة بالهللة والمِس ""OK"""
EnterId,أدخل اسم معرّفك.
EnterPassword,أدخل كلمة السر الخاصة بك.
EnterPin,أدخل رقم الهوية الشخصي.
EnterQuantity,كم لديك؟
EnterWeight,ضع الغرض على الميزان:
Finish,شكراً لتسوّقكم معنا.
FinishAndAdd,إنهاء وإضافة
GiftCard,رصيد بطاقة الهدايا
GoBack,العودة
IncorrectLogin,رقم المشغل وكلمة المرور غير صحيحين.\nنرجو المحاولة مجددا.
InsertCash,أدخل النقود
InsertCoupon,أدخل القسيمة
InvalidBarcodeScan,ضع السلعة جانبا وتابع عملية الشراء.
Item,{0} غرض
Items,{0} أغراض
ItemsAddedFormat,{0} أغراض يُراد إضافتها إلى العربة.
Language,اللغة
NCRCorp,NCR Corp
No,لا
OK,OK
Or,أو
OtherPayment,الدفع بطريقة أخرى
OtherPaymentMethod,طرق دفع أخرى
OwnBag,كيس خاص
Paid,مدفوع:{0}
PayAnotherWay,ادفع بطريقة أخرى
PointsEarned,النقاط المكتسبة
PrintReceipt,طباعة الوصل
Proceed,هل تريد المتابعة
Remove,إزالة
RemovedItem,أزلتُ غرضاً
RestrictedItem,سلعة خاضعة لقيود
ReturnToScan,العودة
ScanAndBag,امسح رمز الغرض، أو ابحث عنه، او أدخله للبدء.
ScanCoupon,مسح القسائم
ScanGiftCard,امسح بطاقة الهدايا
ScanNextItem,لُطفاً، امسح الغرض التالي.
ScanVoucher,مسح الكوبونات
SearchResultsFor,"نتائج البحث لـ""{0}"""
SearchWatermark,أدخل اسم الغرض أو رمزه
SearchItemNameWatermark,Enter Item Name
